url,length,num_dots,has_ip,has_at,is_phishing
https://www.google.com/ztyboyvdvq,33,2,0,0,0
http://umsjop.xyz/verify/eqFTXbfE3JecReIiJh1bwlnl9zy2,53,1,0,0,1
http://login-fiqvslxxmxsd.net/mOHFOpzlIbuvy9J,45,1,0,0,1
http://venshqzoessgrzw.info/banking/hiGzIjN4TX96MfL1j,53,1,0,0,1
https://www.twitter.com/wxuajuxpl,33,2,0,0,0
https://www.amazon.com/xjwhfg,29,2,0,0,0
https://www.twitter.com/rhwguljyf,33,2,0,0,0
https://www.linkedin.com/vidpswc,32,2,0,0,0
https://www.facebook.com/swwhzt,31,2,0,0,0
https://www.twitter.com/lpkdljvh,32,2,0,0,0
https://www.facebook.com/srytvtvvra,35,2,0,0,0
https://www.google.com/tfhssxav,31,2,0,0,0
http://secure-xhykfphluhz.info/5bPIF3uupt1,42,1,0,0,1
https://www.google.com/lixlpoecq,32,2,0,0,0
https://www.twitter.com/ukwsgojmh,33,2,0,0,0
https://www.twitter.com/mbjshqoy,32,2,0,0,0
https://www.twitter.com/ebywg,29,2,0,0,0
https://www.linkedin.com/rxvmm,30,2,0,0,0
http://lnuahckejl.org/update/y0dUa95L1tgjN5Av0,46,1,0,0,1
https://www.facebook.com/scmukj,31,2,0,0,0
https://www.twitter.com/tchqjjnn,32,2,0,0,0
http://login-sgtwxlcacsf-org/ps68hBk1iY4MfZVMHIAGuUPyQCRHn,58,0,0,0,1
http://update-cnzzfixrabyhr.com/J7UOhPKqgWZ,43,1,0,0,1
http://olxxzhklpgwrau.info/account/tlm517Ihwfx28Vmz0xtB,55,1,0,0,1
http://ndrhrm.tk/update/lEEKzJtGSh4fd7h,39,1,0,0,1
http://update-csbkm-net/iqryf6t9dRlIYOj,39,0,0,0,1
https://www.twitter.com/hwmviaq,31,2,0,0,0
https://www.amazon.com/hhqmuhlu,31,2,0,0,0
https://www.twitter.com/vmgpzude,32,2,0,0,0
http://banking-gdyhsnfjiiykpjh.net/7612WmqMSq9Kd,48,1,0,0,1
https://www.wikipedia.org/eyjedv,32,2,0,0,0
http://ekjaaqkxgcqbua-info/update/aLQV48fjyUifx2gKTbUlDe7RNQDIqK,64,0,0,0,1
https://www.twitter.com/qtwvwn,30,2,0,0,0
https://www.linkedin.com/ovfiqfw,32,2,0,0,0
https://www.amazon.com/wvpvl,28,2,0,0,0
https://www.amazon.com/tdjtl,28,2,0,0,0
http://login-kxotvsks-tk/kq2WwpdBGkkU8WGelkCLX9qtsDl,52,0,0,0,1
https://www.linkedin.com/yrkgqkyzni,35,2,0,0,0
https://www.google.com/eisymlrye,32,2,0,0,0
https://www.linkedin.com/pzwghfgo,33,2,0,0,0
https://www.facebook.com/vfdebvfm,33,2,0,0,0
http://sewmqphgvqy.org/account/kpTfKm9F83,41,1,0,0,1
http://oemnt-com/free-gift/XFUY3un8NduqpbMWaIu4MAVLF,52,0,0,0,1
https://www.facebook.com/wgoevi,31,2,0,0,0
http://banking-jakfarivj.net/JpCIuVGQ88aN,41,1,0,0,1
https://www.google.com/skvwmvt,30,2,0,0,0
https://www.linkedin.com/unozehypav,35,2,0,0,0
http://hlfevwqf.org/update/SoJSD4vRPwfUPoyFdBIEov2B,51,1,0,0,1
https://www.linkedin.com/hjmekfghy,34,2,0,0,0
https://www.google.com/snzjwnf,30,2,0,0,0
https://www.google.com/jshdit,29,2,0,0,0
http://banking-baggkqdgk-tk/aqKwTEYmMaEGIwOksZLICL,50,0,0,0,1
https://www.twitter.com/hbbelaon,32,2,0,0,0
https://www.amazon.com/smwods,29,2,0,0,0
http://jnybzdrrldyp.tk/account/255BAe2DzhZ67zWsP8Ar4YuiHpdJ,59,1,0,0,1
http://yjykuavrzfy.tk/update/H2VC9n87i0C0DIXh9MftUxWps,54,1,0,0,1
https://www.amazon.com/fzmblr,29,2,0,0,0
http://update-vhnntyxfiwlny.com/EF1DmtudRjD9eoMgH6,50,1,0,0,1
http://banking-ggwmq.xyz/GfDMCZQNeba6ejiGjtF5c7dZPmY,52,1,0,0,1
https://www.linkedin.com/bzvkc,30,2,0,0,0
https://www.linkedin.com/xllhhdlx,33,2,0,0,0
http://account-bhytkpsijd.xyz/8eYTIaTG1dj1KO8Dh1eBk0Ix,54,1,0,0,1
http://oacixml-xyz/banking/waiGNNnNe9QM6XJLrIjCphYQKuu,54,0,0,0,1
https://www.twitter.com/rcvbtdgx,32,2,0,0,0
https://www.amazon.com/qsrontm,30,2,0,0,0
http://dzmszsufs.info/update/QzlcxrVwDygXLcigVTkWUyqigPC,56,1,0,0,1
https://www.wikipedia.org/uwgxrxqfr,35,2,0,0,0
