user_id,followers,following,posts,age_days,verified,follower_following_ratio,avg_posts_per_day,profile_completeness,bio_length,likes_per_post,ip_diversity,label
0,151,859,190,1183,0,0.17578579743888242,0.16060862214708369,0.7669632214446468,76,35.45147693403101,9,0
1,37,2728,2260,2,0,0.013563049853372434,1130.0,0.046847619930796225,14,1.5160658643100873,1,1
2,60,933,765,94,0,0.06430868167202572,8.138297872340425,0.27247074030160834,14,1.3476271388515608,2,1
3,1654,925,131,3039,0,1.788108108108108,0.043106284962158604,0.8267843194460507,121,11.99657749153017,6,0
4,289,489,99,1650,0,0.591002044989775,0.06,0.9542483099042379,117,41.32077229734711,8,0
5,1988,487,90,2441,0,4.082135523613963,0.0368701351904957,0.7879534844221279,142,30.980846536554292,2,0
6,1454,333,445,1365,0,4.366366366366367,0.326007326007326,0.9955664561982274,109,43.99176500398713,7,0
7,58,1994,20,48,0,0.029087261785356068,0.4166666666666667,0.17763535011376075,17,2.105460940375654,1,1
8,596,350,2,1036,0,1.7028571428571428,0.0019305019305019305,0.6517821767030592,81,35.967288129499096,4,0
9,93,986,894,12,0,0.09432048681541583,74.5,0.11452403598205219,2,2.415137402313643,2,1
10,26,128,18,41,0,0.203125,0.43902439024390244,0.48505061762165624,63,22.80343554772989,8,0
11,16,1571,4020,48,0,0.010184595798854232,83.75,0.2806840670815754,16,2.2410414349567738,2,1
12,112,570,324,22,0,0.19649122807017544,14.727272727272727,0.25476314683823226,5,2.267346472601213,1,1
13,692,263,10,954,0,2.6311787072243344,0.010482180293501049,0.7385636122927896,49,22.172867892794155,8,0
14,151,25,3,88,0,6.04,0.03409090909090909,0.7539153800516436,34,39.58694296958507,6,0
15,701,545,130,2038,0,1.2862385321100918,0.06378802747791953,0.7009735948305188,117,48.73496444915514,3,0
16,1882,740,202,3627,0,2.5432432432432432,0.05569341053212021,0.8916848484598016,100,11.877767084733566,3,0
17,1326,431,300,259,0,3.0765661252900234,1.1583011583011582,0.7335603175962685,142,44.54248450204329,5,0
18,109,346,9,251,0,0.315028901734104,0.035856573705179286,0.5342613808271515,62,41.72104640390398,9,0
19,181,775,7,1215,0,0.2335483870967742,0.005761316872427984,0.5660507835896511,67,44.25948684883659,7,0
20,602,305,4,907,0,1.9737704918032788,0.004410143329658214,0.898059742664358,83,21.803922613818223,9,0
21,111,303,33,311,0,0.36633663366336633,0.10610932475884244,0.7014256686442366,78,31.479805148465797,1,0
22,1549,746,80,1117,0,2.076407506702413,0.07162041181736795,0.7202200984330922,58,43.683593011418594,2,0
23,335,785,7,528,0,0.4267515923566879,0.013257575757575758,0.7156935725579019,92,47.0981408261302,10,0
24,174,534,57,569,0,0.3258426966292135,0.10017574692442882,0.6282977389475647,130,20.943390496529922,7,0
25,93,721,86,84,0,0.1289875173370319,1.0238095238095237,0.49208260568298307,6,0.18183802223104095,2,1
26,609,296,147,2376,0,2.0574324324324325,0.06186868686868687,0.8345840643499396,158,13.256961610425497,8,0
27,127,553,8,290,1,0.22965641952983726,0.027586206896551724,0.5202353318099525,69,42.62124132859783,2,0
28,220,516,7,1075,0,0.4263565891472868,0.0065116279069767444,0.5854989196796727,51,45.60992894797469,3,0
29,51,449,38,1111,0,0.11358574610244988,0.034203420342034205,0.6855747686840761,144,11.965857137332886,5,0
30,109,693,8,214,0,0.15728715728715728,0.037383177570093455,0.7991902241516257,7,7.2564051768779105,8,0
31,108,620,1,1833,0,0.17419354838709677,0.0005455537370430987,0.5743299843922893,76,8.058238851909076,4,0
32,111,302,79,1397,0,0.3675496688741722,0.05654974946313529,0.6119224986867193,40,23.865121190114262,10,0
